iter	Passed	Remaining
0	66	66229
1	70	35203
2	74	24699
3	77	19402
4	82	16328
5	85	14142
6	88	12624
7	92	11446
8	95	10551
9	99	9817
10	103	9269
11	107	8821
12	110	8394
13	113	8022
14	117	7709
15	121	7468
16	125	7232
17	129	7037
18	132	6836
19	136	6706
20	140	6559
21	144	6432
22	149	6336
23	152	6216
24	156	6098
25	160	5994
26	164	5910
27	167	5819
28	171	5732
29	174	5647
30	178	5567
31	182	5512
32	186	5476
33	190	5417
34	194	5352
35	198	5303
36	201	5247
37	204	5188
38	208	5134
39	211	5086
40	215	5050
41	219	5012
42	223	4977
43	227	4935
44	230	4895
45	234	4870
46	239	4854
47	243	4821
48	246	4793
49	250	4758
50	253	4724
51	257	4697
52	261	4675
53	265	4651
54	269	4627
55	272	4600
56	276	4575
57	280	4550
58	283	4529
59	287	4506
60	291	4482
61	294	4458
62	298	4435
63	301	4414
64	305	4391
65	308	4368
66	312	4354
67	316	4333
68	319	4312
69	323	4292
70	327	4281
71	331	4266
72	334	4248
73	338	4230
74	341	4214
75	345	4196
76	348	4183
77	352	4172
78	356	4155
79	360	4140
80	364	4132
81	367	4119
82	371	4107
83	376	4101
84	380	4095
85	384	4081
86	387	4068
87	391	4053
88	394	4037
89	397	4023
90	401	4008
91	404	3995
92	408	3984
93	412	3977
94	416	3964
95	419	3954
96	424	3948
97	427	3938
98	432	3932
99	435	3923
100	439	3911
101	442	3899
102	447	3892
103	450	3883
104	454	3874
105	458	3866
106	462	3858
107	465	3847
108	469	3835
109	472	3824
110	476	3813
111	479	3802
112	483	3791
113	486	3781
114	490	3770
115	493	3760
116	496	3750
117	500	3740
118	504	3731
119	507	3725
120	511	3716
121	514	3706
122	519	3700
123	522	3692
124	526	3686
125	530	3677
126	534	3672
127	537	3664
128	541	3656
129	546	3656
130	550	3650
131	554	3643
132	557	3635
133	561	3631
134	565	3626
135	570	3621
136	573	3615
137	578	3611
138	582	3607
139	585	3599
140	589	3591
141	593	3588
142	597	3582
143	601	3575
144	605	3569
145	609	3563
146	613	3559
147	617	3552
148	620	3545
149	624	3538
150	628	3533
151	632	3528
152	636	3523
153	640	3515
154	643	3509
155	647	3501
156	650	3494
157	654	3490
158	659	3486
159	662	3478
160	666	3471
161	669	3463
162	673	3456
163	676	3449
164	680	3443
165	684	3439
166	688	3436
167	692	3429
168	696	3422
169	699	3415
170	703	3410
171	708	3411
172	713	3410
173	717	3405
174	721	3400
175	725	3395
176	729	3390
177	733	3389
178	738	3388
179	742	3384
180	746	3378
181	750	3373
182	755	3372
183	760	3371
184	765	3371
185	769	3368
186	773	3364
187	777	3359
188	781	3354
189	785	3349
190	790	3347
191	794	3342
192	799	3341
193	803	3338
194	807	3334
195	812	3333
196	817	3333
197	822	3329
198	826	3327
199	830	3323
200	834	3318
201	839	3315
202	844	3313
203	847	3308
204	852	3305
205	856	3301
206	861	3301
207	865	3297
208	870	3293
209	873	3287
210	878	3284
211	883	3283
212	887	3279
213	891	3274
214	895	3270
215	900	3266
216	904	3262
217	908	3258
218	912	3254
219	916	3251
220	921	3247
221	925	3243
222	929	3239
223	933	3234
224	938	3232
225	942	3229
226	947	3226
227	952	3223
228	956	3220
229	961	3218
230	965	3212
231	968	3207
232	973	3204
233	977	3200
234	981	3195
235	985	3191
236	989	3187
237	993	3181
238	998	3179
239	1003	3177
240	1007	3173
241	1012	3172
242	1016	3167
243	1021	3165
244	1025	3161
245	1031	3161
246	1035	3156
247	1039	3153
248	1044	3149
249	1047	3143
250	1052	3140
251	1056	3135
252	1060	3131
253	1065	3128
254	1069	3124
255	1074	3121
256	1079	3120
257	1084	3118
258	1088	3113
259	1095	3118
260	1099	3113
261	1105	3113
262	1109	3109
263	1114	3107
264	1118	3103
265	1125	3105
266	1130	3103
267	1135	3101
268	1141	3101
269	1146	3100
270	1151	3096
271	1155	3093
272	1160	3090
273	1164	3086
274	1168	3081
275	1173	3077
276	1177	3074
277	1183	3073
278	1187	3069
279	1191	3064
280	1196	3061
281	1201	3058
282	1205	3055
283	1209	3050
284	1213	3045
285	1217	3039
286	1221	3034
287	1226	3031
288	1231	3029
289	1235	3024
290	1239	3018
291	1242	3013
292	1246	3007
293	1251	3005
294	1256	3003
295	1260	2997
296	1264	2992
297	1269	2990
298	1273	2985
299	1278	2982
300	1282	2978
301	1288	2977
302	1293	2975
303	1299	2974
304	1303	2970
305	1308	2968
306	1313	2964
307	1318	2961
308	1322	2958
309	1327	2953
310	1330	2948
311	1334	2943
312	1340	2941
313	1343	2936
314	1347	2931
315	1352	2927
316	1356	2921
317	1359	2916
318	1363	2910
319	1367	2906
320	1371	2902
321	1376	2897
322	1380	2892
323	1384	2887
324	1388	2883
325	1392	2879
326	1396	2874
327	1400	2869
328	1404	2864
329	1408	2859
330	1412	2854
331	1415	2849
332	1419	2843
333	1423	2837
334	1426	2832
335	1430	2826
336	1433	2820
337	1436	2814
338	1440	2808
339	1443	2802
340	1447	2797
341	1450	2791
342	1454	2785
343	1457	2779
344	1461	2774
345	1464	2768
346	1468	2762
347	1471	2757
348	1475	2751
349	1478	2745
350	1482	2740
351	1485	2734
352	1489	2729
353	1492	2723
354	1495	2717
355	1499	2712
356	1502	2706
357	1506	2701
358	1509	2695
359	1513	2690
360	1516	2684
361	1520	2679
362	1524	2675
363	1528	2670
364	1532	2665
365	1535	2659
366	1538	2654
367	1542	2648
368	1545	2643
369	1549	2637
370	1552	2632
371	1556	2627
372	1560	2622
373	1563	2617
374	1567	2612
375	1571	2607
376	1574	2602
377	1578	2597
378	1582	2592
379	1585	2587
380	1589	2582
381	1592	2576
382	1596	2571
383	1599	2566
384	1603	2561
385	1606	2555
386	1610	2550
387	1613	2545
388	1617	2540
389	1621	2535
390	1624	2530
391	1628	2525
392	1632	2520
393	1635	2515
394	1639	2511
395	1643	2506
396	1646	2501
397	1650	2496
398	1653	2491
399	1657	2486
400	1661	2481
401	1664	2476
402	1668	2471
403	1672	2467
404	1676	2462
405	1680	2458
406	1684	2453
407	1687	2448
408	1691	2443
409	1695	2439
410	1699	2435
411	1703	2431
412	1707	2427
413	1712	2424
414	1717	2420
415	1721	2416
416	1725	2412
417	1729	2408
418	1733	2403
419	1737	2399
420	1741	2394
421	1745	2390
422	1749	2386
423	1754	2383
424	1758	2379
425	1762	2375
426	1766	2370
427	1770	2366
428	1774	2362
429	1778	2357
430	1782	2353
431	1786	2348
432	1790	2344
433	1794	2340
434	1798	2336
435	1802	2332
436	1806	2327
437	1810	2323
438	1814	2319
439	1819	2315
440	1824	2312
441	1828	2308
442	1832	2304
443	1837	2300
444	1841	2297
445	1846	2293
446	1851	2290
447	1855	2286
448	1860	2282
449	1864	2278
450	1868	2274
451	1872	2270
452	1876	2266
453	1880	2261
454	1884	2257
455	1889	2253
456	1893	2249
457	1897	2245
458	1901	2241
459	1906	2237
460	1910	2233
461	1914	2229
462	1918	2225
463	1922	2220
464	1926	2216
465	1930	2212
466	1933	2207
467	1937	2202
468	1941	2198
469	1946	2194
470	1950	2190
471	1954	2186
472	1958	2182
473	1963	2178
474	1967	2174
475	1972	2171
476	1976	2167
477	1981	2163
478	1985	2159
479	1989	2154
480	1992	2150
481	1996	2145
482	2000	2141
483	2004	2137
484	2008	2132
485	2012	2128
486	2015	2123
487	2019	2118
488	2022	2113
489	2026	2109
490	2030	2104
491	2033	2099
492	2037	2095
493	2041	2091
494	2045	2087
495	2049	2082
496	2053	2078
497	2056	2073
498	2060	2068
499	2064	2064
500	2069	2060
501	2072	2056
502	2076	2051
503	2080	2047
504	2084	2043
505	2088	2038
506	2092	2034
507	2096	2030
508	2100	2026
509	2104	2022
510	2108	2017
511	2111	2012
512	2115	2008
513	2119	2004
514	2123	1999
515	2127	1995
516	2130	1990
517	2134	1985
518	2137	1981
519	2141	1976
520	2145	1972
521	2148	1967
522	2153	1963
523	2156	1959
524	2160	1954
525	2163	1949
526	2167	1945
527	2171	1940
528	2174	1936
529	2179	1932
530	2182	1927
531	2186	1923
532	2190	1919
533	2193	1914
534	2197	1909
535	2201	1905
536	2205	1901
537	2209	1897
538	2213	1893
539	2217	1888
540	2221	1884
541	2225	1880
542	2230	1877
543	2235	1873
544	2239	1869
545	2242	1865
546	2246	1860
547	2250	1856
548	2254	1852
549	2258	1847
550	2262	1843
551	2265	1838
552	2269	1834
553	2272	1829
554	2276	1825
555	2280	1820
556	2284	1817
557	2289	1813
558	2293	1809
559	2297	1804
560	2301	1800
561	2304	1796
562	2309	1792
563	2313	1788
564	2317	1783
565	2320	1779
566	2325	1775
567	2328	1771
568	2332	1766
569	2336	1762
570	2340	1758
571	2343	1753
572	2347	1749
573	2350	1744
574	2354	1740
575	2358	1735
576	2361	1731
577	2365	1726
578	2368	1722
579	2372	1717
580	2376	1713
581	2379	1709
582	2383	1704
583	2387	1700
584	2390	1695
585	2394	1691
586	2398	1687
587	2401	1682
588	2406	1679
589	2410	1675
590	2414	1670
591	2418	1666
592	2422	1662
593	2426	1658
594	2431	1654
595	2435	1650
596	2439	1646
597	2443	1642
598	2447	1638
599	2451	1634
600	2455	1629
601	2459	1625
602	2463	1621
603	2467	1617
604	2471	1613
605	2475	1609
606	2479	1605
607	2483	1601
608	2488	1597
609	2492	1593
610	2496	1589
611	2500	1585
612	2504	1581
613	2508	1577
614	2512	1573
615	2517	1569
616	2521	1565
617	2525	1560
618	2529	1556
619	2533	1552
620	2536	1548
621	2540	1544
622	2544	1539
623	2548	1535
624	2552	1531
625	2556	1527
626	2560	1523
627	2564	1519
628	2568	1515
629	2572	1511
630	2577	1507
631	2581	1503
632	2585	1498
633	2589	1494
634	2593	1490
635	2597	1486
636	2601	1482
637	2606	1478
638	2610	1474
639	2614	1470
640	2618	1466
641	2622	1462
642	2626	1458
643	2630	1454
644	2634	1450
645	2638	1446
646	2642	1441
647	2646	1437
648	2649	1433
649	2653	1428
650	2656	1424
651	2660	1420
652	2664	1415
653	2668	1411
654	2672	1407
655	2676	1403
656	2680	1399
657	2684	1395
658	2688	1390
659	2691	1386
660	2695	1382
661	2699	1378
662	2703	1374
663	2707	1369
664	2710	1365
665	2714	1361
666	2718	1357
667	2722	1353
668	2726	1349
669	2730	1344
670	2734	1340
671	2738	1336
672	2741	1332
673	2745	1327
674	2749	1323
675	2753	1319
676	2757	1315
677	2761	1311
678	2765	1307
679	2768	1303
680	2772	1298
681	2776	1294
682	2780	1290
683	2783	1286
684	2787	1281
685	2790	1277
686	2794	1273
687	2797	1268
688	2801	1264
689	2804	1260
690	2808	1255
691	2811	1251
692	2814	1247
693	2818	1242
694	2822	1238
695	2826	1234
696	2830	1230
697	2834	1226
698	2837	1222
699	2842	1218
700	2846	1213
701	2850	1210
702	2854	1205
703	2858	1201
704	2863	1197
705	2869	1195
706	2874	1191
707	2878	1187
708	2883	1183
709	2887	1179
710	2892	1175
711	2896	1171
712	2900	1167
713	2905	1163
714	2909	1159
715	2913	1155
716	2917	1151
717	2921	1147
718	2925	1143
719	2929	1139
720	2932	1134
721	2936	1130
722	2940	1126
723	2943	1122
724	2947	1118
725	2951	1113
726	2955	1109
727	2959	1105
728	2963	1101
729	2967	1097
730	2970	1093
731	2974	1089
732	2978	1085
733	2982	1080
734	2987	1076
735	2991	1072
736	2994	1068
737	2998	1064
738	3002	1060
739	3006	1056
740	3010	1052
741	3014	1048
742	3018	1043
743	3021	1039
744	3026	1035
745	3030	1031
746	3033	1027
747	3037	1023
748	3041	1019
749	3045	1015
750	3050	1011
751	3054	1007
752	3058	1003
753	3063	999
754	3068	995
755	3072	991
756	3077	987
757	3081	983
758	3086	980
759	3091	976
760	3095	972
761	3100	968
762	3104	964
763	3108	960
764	3111	955
765	3115	951
766	3120	947
767	3123	943
768	3127	939
769	3131	935
770	3135	931
771	3139	927
772	3143	923
773	3147	919
774	3151	915
775	3155	910
776	3159	906
777	3163	902
778	3167	898
779	3171	894
780	3174	890
781	3178	886
782	3183	882
783	3186	877
784	3190	873
785	3194	869
786	3197	865
787	3200	861
788	3204	857
789	3208	852
790	3213	848
